phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://prompts.robertdevore.com/,AI prompt library,Prompts by Robert DeVore,navigate and browse,AI prompt library,"image prompts; business prompts; marketing prompts; coding prompts",prompt categories,Where can I find reusable AI prompts?,,Limited category breadth,Keep category navigation and feature the strongest original prompts
after,https://prompts.robertdevore.com/about/,prompt library authorship,Robert DeVore,learn about source,about Prompts by Robert DeVore,"prompt author; prompt library purpose",Prompts by Robert DeVore,Who creates and maintains this prompt library?,,Could explain editorial standards,Add a concise editorial and update policy when established
after,https://prompts.robertdevore.com/contact/,contact Robert DeVore,Robert DeVore,contact,contact Robert DeVore,"prompt feedback; prompt request",Prompts by Robert DeVore,How can I contact the prompt author?,,No material gap,Keep contact details current
after,https://prompts.robertdevore.com/blog/,AI prompt articles,Prompts by Robert DeVore,browse articles,AI prompt blog,"latest AI prompts; reusable prompts",prompt posts,What prompts are available?,https://prompts.robertdevore.com/,Home and blog overlap,Preserve distinct labels and canonical pagination
after,https://prompts.robertdevore.com/page/2/,AI prompt library pagination,Prompts by Robert DeVore,browse older prompts,AI prompt library page 2,"older AI prompts",prompt posts,What older prompts are available?,https://prompts.robertdevore.com/blog/page/2/,Pagination surfaces overlap,Keep pagination canonical and internally linked
after,https://prompts.robertdevore.com/blog/page/2/,AI prompt article pagination,Prompts by Robert DeVore,browse older articles,AI prompt blog page 2,"older prompt articles",prompt posts,What older prompt articles are available?,https://prompts.robertdevore.com/page/2/,Pagination surfaces overlap,Keep pagination canonical and internally linked
after,https://prompts.robertdevore.com/images/,AI image prompts,AI image generation,browse prompt category,AI image generation prompts,"JSON image prompts; image design prompts",image generators,Which prompts create distinctive AI images?,,Category depends on article breadth,Continue adding original image prompt families
after,https://prompts.robertdevore.com/business/,business AI prompts,business strategy,browse prompt category,business AI prompts,"company analysis prompt; product diagnostic prompt",company and product strategy,Which AI prompts help diagnose a business?,,Only one current article,Add non-overlapping business planning and operations prompts
after,https://prompts.robertdevore.com/marketing/,marketing AI prompts,content marketing,browse prompt category,marketing AI prompts,"keyword analysis prompt; competitor content prompt",SEO and content strategy,Which prompt can analyze a content market?,,Only one current article,Add non-overlapping audience campaign and positioning prompts
after,https://prompts.robertdevore.com/coding/,coding AI prompts,software maintenance agents,browse prompt category,coding AI prompts,"security maintenance prompt; Dependabot automation",Dependabot and GitHub,Which prompts help coding agents work safely?,,Only one current article,Add tested coding workflows with explicit guardrails
after,https://prompts.robertdevore.com/writing/,writing AI prompts,AI-assisted writing,browse prompt category,writing AI prompts,"creative writing prompts; editing prompts",writing workflows,Which reusable writing prompts are available?,,No writing posts yet,Publish original writing prompts when ready
after,https://prompts.robertdevore.com/blog/brutally-honest-company-product-diagnostic/,company and product diagnostic,company or product,reuse prompt,honest company diagnostic prompt,"product teardown prompt; business diagnostic prompt",market position and moat,What is working weak unique or self-deceptive about a product?,,No worked example,Consider adding an anonymized example without diluting the reusable prompt
after,https://prompts.robertdevore.com/blog/keyword-competitor-content-analysis/,keyword and competitor analysis,keyword market,reuse prompt,keyword competitor analysis prompt,"content gap analysis prompt; SEO research prompt",search volume and content strategy,How can I find underserved keyword and content opportunities?,,Live data requires external tools,Keep the current sourcing requirement and add a sample report only with verifiable data
after,https://prompts.robertdevore.com/blog/dependabot-security-maintenance-agent/,dependency security maintenance,Dependabot,reuse prompt,Dependabot security agent prompt,"dependency vulnerability agent; safe automated dependency updates",GitHub Actions and package managers,How should an agent fix dependency alerts without risky upgrades?,,Framework-specific examples are absent,Add tested ecosystem variants only when source-grounded
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,glowing neon icon generation,neon icons,reuse prompt,glowing neon icon JSON prompt,"neon app icon prompt; glowing icon design",AI image generation,How can I generate a consistent set of glowing icons?,,No tool-specific examples,Add examples only when they preserve prompt portability
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,isometric 3D icon generation,isometric icons,reuse prompt,isometric 3D icon JSON prompt,"3D app icon prompt; isometric design prompt",AI image generation,How can I make consistent isometric 3D icons?,,No material gap,Maintain examples and original visual evidence
