phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
after,https://prompts.robertdevore.com/about/,content/pages/about.md,AboutPage,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/about/,200,About the Prompt Library | Prompts by Robert DeVore,51,A practical library of reusable prompts for creative and professional work with AI.,83,About,h1>h2>h2>h2,162,en,,,Robert DeVore,no,AboutPage,19,12,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,0,0,0,1,no,yes,no,no,5540c5c1687c7510744a1ed19311ef93df1f2d1f0ee233c654d5af0bba24287d,
after,https://prompts.robertdevore.com/business/,content/pages/business.md,CollectionPage,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/business/,200,Business AI Prompts | Prompts by Robert DeVore,46,"Prompts for strategy, operations, planning, analysis, and everyday business work.",81,Business Prompts,h1,62,en,,,Robert DeVore,no,CollectionPage,19,11,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,0,0,0,1,no,yes,no,no,459b84990bd6385e0a2762e0bf2a6da2b65d81b7fb268cef6664d833f93aec04,
after,https://prompts.robertdevore.com/coding/,content/pages/coding.md,CollectionPage,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/coding/,200,Coding AI Prompts | Prompts by Robert DeVore,44,"Prompts for software design, implementation, debugging, review, and documentation.",82,Coding Prompts,h1,61,en,,,Robert DeVore,no,CollectionPage,19,11,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,0,0,0,1,no,yes,no,no,7fc3601f4ed86d0a8fcfc3d605ad880e44bcc3d94d79416f10de0769b624b859,
after,https://prompts.robertdevore.com/contact/,content/pages/contact.md,ContactPage,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/contact/,200,Contact Robert DeVore | Prompts by Robert DeVore,48,"Questions, feedback, or support for the Prompts library.",56,Contact,h1>h2>h3>h3>h2,115,en,,,Robert DeVore,no,ContactPage,19,11,3,0,NOT AVAILABLE — DATA ACCESS REQUIRED,0,0,0,1,no,yes,no,no,8d895b8183b9d8b39fc3c088b551a0a5bf83818eb61a34001d5a7fb6877ffe65,
after,https://prompts.robertdevore.com/images/,content/pages/images.md,CollectionPage,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/images/,200,AI Image Generation Prompts | Prompts by Robert DeVore,54,"Prompts for image generation, visual concepts, icons, characters, packaging, and design systems.",96,Image Prompts,h1,103,en,,,Robert DeVore,no,CollectionPage,19,18,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,0,0,0,1,no,yes,no,no,b9ab135dc422cf8b079fc8bf24a078b001b4fd32c8de2abb6f1dfe97fa5bf65c,
after,https://prompts.robertdevore.com/marketing/,content/pages/marketing.md,CollectionPage,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/marketing/,200,Marketing AI Prompts | Prompts by Robert DeVore,47,"Prompts for campaigns, positioning, content, audience research, and growth.",75,Marketing Prompts,h1,61,en,,,Robert DeVore,no,CollectionPage,19,11,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,0,0,0,1,no,yes,no,no,4a8b7f7903ef7407a02477766488c48b409444b50843c911aabac1f13a0d98d6,
after,https://prompts.robertdevore.com/writing/,content/pages/writing.md,CollectionPage,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/writing/,200,Writing AI Prompts | Prompts by Robert DeVore,45,"Prompts for drafting, editing, storytelling, research, and clearer communication.",81,Writing Prompts,h1,61,en,,,Robert DeVore,no,CollectionPage,19,11,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,0,0,0,1,no,yes,no,no,4ad137952e968d26a5628cbf2f31f042b49617c8dc0f752e9e6ea1697b89766e,
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,content/posts/glowing-neon-icon-json-prompt.md,BlogPosting,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,200,Glowing Neon Icons JSON Prompt | Prompts by Robert DeVore,57,"Create bold, glowing 3D icons with luminous outlines, high-contrast edges, and a polished futuristic aesthetic.",111,Glowing Neon Icons: Design Bold Icons with This JSON Prompt,h1>h2>h2>h2>h2,843,en,2025-05-19,2025-05-19,Robert DeVore,no,BlogPosting,4,12,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,1,0,0,1,no,yes,no,no,487435f4ab22337bd73ee2147115429155aae2fd1ba1f068ecacf0b015e5aac8,
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,content/posts/isometric-3d-icon-json-prompt-for-ai-generated-designs.md,BlogPosting,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,200,Isometric 3D Icon JSON Prompt | Prompts by Robert DeVore,56,"Generate polished isometric 3D icons with lifelike materials, realistic shadows, and high-resolution studio rendering.",118,Isometric 3D Icon JSON Prompt for AI-Generated Designs,h1>h2>h2>h2>h2>h2>h2>h2>h2,869,en,2025-05-15,2025-05-15,Robert DeVore,no,BlogPosting,4,12,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,1,0,0,1,no,yes,no,no,9294b00a303bc2be68c1652761d11121c7cbb811283f7c8d5f3187a8f32391c7,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,content/posts/metallic-sci-fi-hud.md,BlogPosting,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,200,Metallic Sci-Fi HUD JSON Prompt | Prompts by Robert DeVore,58,"Create intense futuristic icons with brushed metal, electric blue accents, layered geometry, and cinematic industrial lighting.",127,Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt,h1>h2>h2>h2>h2,445,en,2025-04-27,2025-04-27,Robert DeVore,no,BlogPosting,4,12,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,1,no,yes,no,no,ea778627059a74c6bd7c1de93137c16a44ad8c9db3b466e5fc6b8a7ebfcf409a,
